level_0,index,year,month,value,data_mean_nh,data_mean_sh
0,0,1850,1,284.944656165892,285.629154382051,284.260157949734
1,1,1850,2,285.33379177202005,286.291158998961,284.376424545079
2,2,1850,3,285.68282529314996,286.941396257505,284.42425432879503
3,3,1850,4,285.93117886177896,287.48581223943296,284.37654548412496
4,4,1850,5,285.88592837839,287.40546056110503,284.366396195675
5,5,1850,6,285.166409774479,285.911601423396,284.421218125562
6,6,1850,7,283.535435169395,282.642747429015,284.428122909774
7,7,1850,8,281.936464955225,279.583064416028,284.289865494422
8,8,1850,9,281.901050552666,279.68194724474,284.120153860592
9,9,1850,10,282.941449012576,281.790640371157,284.09225765399503
10,10,1850,11,283.950587411799,283.670001731253,284.231173092345
11,11,1850,12,284.594220910059,284.91664300345,284.271798816669
12,12,1851,1,285.062186270545,285.747256714085,284.377115827004
13,13,1851,2,285.454612618704,286.412588323841,284.496636913568
14,14,1851,3,285.807019565383,287.066202448955,284.54783668181096
15,15,1851,4,286.058745574905,287.613939908817,284.503551240994
16,16,1851,5,286.016688690945,287.536621825256,284.49675555663504
17,17,1851,6,285.300121015748,286.045458677247,284.55478335425
18,18,1851,7,283.671992646514,282.779338788787,284.564646504241
19,19,1851,8,282.075738690955,279.72250586824,284.42897151367
20,20,1851,9,282.04268870732,279.823908706363,284.26146870827597
21,21,1851,10,283.085164171303,281.934861577288,284.235466765318
22,22,1851,11,284.096026614885,283.81614687015,284.37590635962005
23,23,1851,12,284.741013624775,285.064269742038,284.417757507512
24,24,1852,1,285.210038282149,285.89602079739603,284.524055766903
25,25,1852,2,285.603128119977,286.562053323481,284.644202916472
26,26,1852,3,285.955887820865,287.216021636633,284.695754005097
27,27,1852,4,286.207688563156,287.76377558111596,284.65160154519504
28,28,1852,5,286.16535777820303,287.686005728041,284.644709828364
29,29,1852,6,285.448222045858,286.19399250996497,284.702451581751
30,30,1852,7,283.819505446809,282.92714778845,284.711863105168
31,31,1852,8,282.222685845347,279.869871190652,284.575500500042
32,32,1852,9,282.18886406276,279.970648065855,284.407080059665
33,33,1852,10,283.230444390441,282.080881420404,284.380007360477
34,34,1852,11,284.240228597374,283.961282908126,284.519174286621
35,35,1852,12,284.88394713310004,285.20825297130904,284.55964129489104
36,36,1853,1,285.351546282978,286.03858441641603,284.66450814954
37,37,1853,2,285.74308894638597,286.70308383847,284.783094054302
38,38,1853,3,286.094221167157,287.35540617695096,284.83303615736196
39,39,1853,4,286.344357969177,287.901423688631,284.787292249722
40,40,1853,5,286.300277143615,287.821723074463,284.77883121276795
41,41,1853,6,285.581368806736,286.327662305485,284.835075307987
42,42,1853,7,283.95111908205797,283.05921044274396,284.843027721372
43,43,1853,8,282.35304271088404,280.000906375265,284.705179046504
44,44,1853,9,282.317998665078,280.100711881573,284.535285448583
45,45,1853,10,283.358427178718,282.21007126374,284.50678309369704
46,46,1853,11,284.367036963703,284.089593191173,284.64448073623197
47,47,1853,12,285.009513026331,285.3355443784,284.68348167426103
48,48,1854,1,285.47578088337,286.164658458233,284.786903308507
49,49,1854,2,285.865921861758,286.82788746955504,284.90395625396
50,50,1854,3,286.215568344039,287.478827186181,284.952309501897
51,51,1854,4,286.464135248693,288.023331227154,284.90493927023203
52,52,1854,5,286.418319427959,287.94185846392,284.894780391997
53,53,1854,6,285.69752791862703,286.44579589509897,284.949259942155
54,54,1854,7,284.06543551480803,283.17537187468497,284.955499154932
55,55,1854,8,282.465574015363,280.11523087751,284.815917153216
56,56,1854,9,282.428634332472,280.213107617066,284.644161047878
57,57,1854,10,283.467137460205,282.32053178398104,284.613743136429
